Tracking Domain,Old Consent Category,New Consent Category,Vendor Name,Tracker Type,Tracker Name,Tracker Purpose,Tracker Purpose (Source),Vendor Description,Tracker Duration
cdn.jsdelivr.net,Functional Cookies,Performance Cookies [Requires consent],Volentio JSD Limited,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"jsDelivr is a free, open-source content delivery network (CDN) that focuses primarily on delivering JavaScript, CSS, fonts, and other web-related files to users around the world. It provides developers and website owners with a fast and reliable way to host and serve their files by distributing them across multiple servers located in various geographic regions.",
cdnjs.cloudflare.com,Functional Cookies,Performance Cookies [Requires consent],Cloudflare,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Cloudflare is a web performance and security company that provides online services to protect and accelerate websites online.
<br><a href=https://www.cloudflare.com/website-terms/ target=_blank aria-label=""Cloudflare Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.cloudflare.com/privacypolicy/ target=_blank aria-label=""Cloudflare Data Subject Rights"">Data Subject Rights</a>
<br>",
code.jquery.com,Functional Cookies,Performance Cookies [Requires consent],jQuery,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"The jQuery Foundation is a non-profit trade association dedicated to supporting development of the jQuery Core, jQuery UI, and jQuery Mobile projects; providing jQuery documentation and support; and fostering the jQuery community.",
gtli35yxjasjwznqtiva-perylk-XXXXXXXXX-clientnsv4-s.akamaihd.net,Functional Cookies,Performance Cookies [Requires consent],Akamai,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Akamai is a provider of cloud services for helping enterprises provide secure, high-performing user experiences on any device.
<br><a href=https://www.akamai.com/us/en/privacy-policies/portal-terms.jsp target=_blank aria-label=""Akamai Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.akamai.com/content/dam/site/en/documents/akamai/akamai-privacy-statement.pdf target=_blank aria-label=""Akamai Data Subject Rights"">Data Subject Rights</a>
<br>",
h.online-metrix.net,Functional Cookies,Performance Cookies [Requires consent],LexisNexis Risk Solutions (formerly ThreatMetrix),Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,FR Original,"LexisNexis Risk Solutions uses Big Data, proprietary linking and targeted solutions to provide insights that help make organizations more secure and efficient.
<br><a href=https://risk.lexisnexis.com/terms target=_blank aria-label=""LexisNexis Risk Solutions (formerly ThreatMetrix) Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://risk.lexisnexis.com/group/privacy-policy target=_blank aria-label=""LexisNexis Risk Solutions (formerly ThreatMetrix) Data Subject Rights"">Data Subject Rights</a>
<br>",
images.CLIENT_X.com,Functional Cookies,Essential cookies (exempt from consent),Koninklijke CLIENT_X N.V.,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
<br><a href=https://www.usa.CLIENT_X.com/a-w/terms-of-use.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.usa.CLIENT_X.com/a-w/privacy-notice.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Data Subject Rights"">Data Subject Rights</a>
<br>",
images.podigee-cdn.net,Functional Cookies,Performance Cookies [Requires consent],Podigee,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, A podcast hosting and analytics service.,
imgs.signifyd.com,Functional Cookies,Performance Cookies [Requires consent],Signifyd,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,FR Original,"Signifyd is a SaaS-based, enterprise-grade fraud technology solution for e-commerce stores. It simplifies fraud detection through a financial guarantee, allowing businesses to increase sales while reducing fraud losses.
<br><a href=https://www.signifyd.com/tos/ target=_blank aria-label=""Signifyd Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.signifyd.com/privacy/ target=_blank aria-label=""Signifyd Subject Rights"">Data Subject Rights</a>
<br>",
innovationandyou.podigee.io,Functional Cookies,Performance Cookies [Requires consent],Podigee,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, A podcast hosting and analytics service.,
maps.googleapis.com,Functional Cookies,Performance Cookies [Requires consent],Google Inc.,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"
Google Inc. is an American multinational technology company that specializes in Internet-related services and products, which includes a search engine, cloud computing, software, and hardware.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Inc. Terms and Conditions"">Terms and Conditions</a>
<br>",
md-scp.kampyle.com,Functional Cookies,Performance Cookies [Requires consent],Medallia,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Medallia provides software-as-a-service customer experience management.
<br><a href=https://www.medallia.com/terms-of-use/ target=_blank aria-label=""Medallia Terms and Conditions"">Terms and Conditions</a>
<br>",
nebula-cdn.kampyle.com,Functional Cookies,Performance Cookies [Requires consent],Medallia,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Medallia provides software-as-a-service customer experience management.
<br><a href=https://www.medallia.com/terms-of-use/ target=_blank aria-label=""Medallia Terms and Conditions"">Terms and Conditions</a>
<br>",
pages.information.signify.com,Functional Cookies,Performance Cookies [Requires consent],Signify (formerly CLIENT_X Lighting),JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
CLIENT_X.112.2o7.net,Functional Cookies,Performance Cookies [Requires consent],Adobe Experience Cloud - Analytics,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,TrustArc,"Adobe Analytics is a solution for applying real-time analytics and detailed segmentation across all of your marketing channels.
<br><a href=https://www.adobe.com/legal/terms.html target=_blank aria-label=""Adobe Experience Cloud - Analytics Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.adobe.com/privacy/policy.html#rights target=_blank aria-label=""Adobe Experience Cloud - Analytics Data Subject Rights"">Data Subject Rights</a>
<br>",
CLIENT_X.co.uk,Functional Cookies,Performance Cookies [Requires consent],CLIENT_X - United Kingdom,HTTP Cookie,RT,The roundtrip (RT) Boomerang cookie is used by Akamai to measure page load time and/or other timers associated with the page,FR Original,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""CLIENT_X - United Kingdom Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""CLIENT_X - United Kingdom Data Subject Rights"">Data Subject Rights</a>
<br>",6
CLIENT_Xlighting.d3.sc.omtrdc.net,Functional Cookies,Performance Cookies [Requires consent],Adobe Experience Cloud - Analytics,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Adobe Analytics is a solution for applying real-time analytics and detailed segmentation across all of your marketing channels.
<br><a href=https://www.adobe.com/legal/terms.html target=_blank aria-label=""Adobe Experience Cloud - Analytics Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.adobe.com/privacy/policy.html#rights target=_blank aria-label=""Adobe Experience Cloud - Analytics Data Subject Rights"">Data Subject Rights</a>
<br>",
